SUBID	MPS_wbR	MPS_spR	MPS_acR	MPS_scR	MPS_srR	MPS_alR	MPS_agR	MPS_clR	MPS_haR	MPS_tdR	MPS_abR	MPS_PER	MPS_NER	MPS_COR	MPS_PGR	MPS_PCR	MPS_NGR	MPS_NLR	MPS_uvR	MPS_vrR	MPS_trR	MPS_wbT	MPS_spT	MPS_acT	MPS_scT	MPS_srT	MPS_alT	MPS_agT	MPS_clT	MPS_haT	MPS_tdT	MPS_abT	MPS_PET	MPS_NET	MPS_COT	MPS_PGT	MPS_PCT	MPS_NGT	MPS_NLT	MPS_uvT	MPS_vrT	MPS_trT	MPS_inv
1	3	6	4	3	9	11	8	3	5	2	4	47	81	46	41	40	72	87	13	7	14	34	53	42	37	58	78	68	32	38	32	37	36	73	27	40	36	65	73	78	78	65	0
2	1	5	2	9	7	10	9	3	2	2	1	50	77	38	29	56	74	79	10	6	10	27	51	35	52	53	73	71	32	29	32	27	38	71	22	29	45	66	69	78	71	38	0
3	1	3	8	0	11	10	6	11	6	2	9	39	76	71	48	20	67	84	13	4	10	27	47	53	27	65	73	63	59	41	32	51	31	71	40	44	22	62	71	78	59	38	0
4	0	1	2	0	10	11	11	4	10	3	4	25	89	65	24	21	90	86	11	1	12	22	41	35	27	61	78	78	34	52	34	37	22	78	37	27	22	73	73	78	40	51	0
5	4	8	4	5	5	9	12	0	2	0	5	56	77	27	45	51	87	68	10	5	12	36	57	42	42	49	69	78	22	29	22	40	43	71	22	43	43	71	66	78	65	51	0
6	0	7	6	1	4	12	10	1	3	5	2	43	79	43	45	29	73	84	14	7	13	22	56	47	29	47	78	73	27	32	40	32	34	73	22	43	27	66	71	78	78	58	0
7	12	11	8	12	2	6	8	1	0	5	9	95	56	35	73	89	64	52	14	4	12	64	66	53	66	41	66	68	27	22	40	51	71	63	22	60	73	61	62	78	59	51	0
8	4	7	11	5	2	10	6	3	4	3	5	66	60	46	66	46	50	74	13	1	9	36	56	62	42	41	73	63	32	36	34	40	49	65	27	56	40	54	68	78	40	31	0
9	0	6	9	0	5	9	7	8	8	6	2	44	65	78	54	23	63	71	12	5	10	22	53	55	27	49	69	66	46	46	42	32	34	66	44	48	22	60	68	78	65	38	0
10	3	7	6	2	5	9	10	11	9	11	2	51	74	99	50	38	79	69	12	8	12	34	56	47	34	49	69	73	59	49	59	32	39	71	59	46	35	68	68	78	78	51	1
11	6	1	4	6	0	11	8	4	7	1	3	50	64	51	39	48	56	75	10	5	9	41	41	42	44	31	78	68	34	44	27	34	38	66	29	38	41	57	69	78	65	31	0
12	10	6	3	2	6	12	9	1	6	9	5	58	82	57	49	49	72	87	13	6	11	53	53	39	34	51	78	71	27	41	51	40	44	73	31	45	42	65	73	78	71	44	0
13	5	8	11	9	1	9	11	0	7	6	7	77	70	54	68	64	76	65	14	4	8	38	57	62	52	37	69	78	22	44	42	45	56	69	31	57	50	66	66	78	59	27	0
14	1	2	3	5	5	11	11	2	8	5	3	39	81	58	29	40	81	80	12	4	11	27	45	39	42	49	78	78	29	46	40	34	31	73	32	29	36	69	69	78	59	44	0
15	3	1	0	10	9	11	7	5	4	10	5	47	80	65	20	60	66	89	11	1	10	34	41	27	55	58	78	66	38	36	54	40	36	73	37	22	48	62	73	78	40	38	0
16	0	4	8	5	5	11	7	12	12	8	0	49	73	102	46	39	62	82	11	2	13	22	49	53	42	49	78	66	66	63	48	22	38	71	62	43	36	60	71	78	47	58	0
17	4	9	4	2	7	12	8	1	8	9	2	53	82	63	46	44	69	90	14	5	15	36	60	42	34	53	78	68	27	46	51	32	41	73	36	43	38	63	78	78	65	71	0
18	3	11	7	9	6	11	9	1	7	6	1	73	81	55	55	67	72	83	13	4	13	34	66	50	52	51	78	71	27	44	42	27	53	73	31	48	52	65	71	78	59	58	0
19	11	11	12	1	2	11	11	0	5	5	5	81	77	46	86	49	76	75	13	2	10	57	66	69	29	41	78	78	22	38	40	40	58	71	27	73	42	66	69	78	47	38	0
20	5	0	7	1	8	11	5	3	7	8	7	42	71	64	46	27	55	88	11	2	12	38	34	50	29	56	78	60	32	44	48	45	34	69	37	43	27	56	73	78	47	51	0
